商品描述,店铺,价格,评论数量,商品链接,图片地址
【赠版画书签电子书】往里走，安顿自己 90岁史学大家许倬云重磅新作另著《万古江河》 安顿自己的心 图,文轩网旗舰店,29.50,500+,https://item.jd.com/10059695615473.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/113664/1/29235/111530/6324523dEa358bb0b/8b87b6e112739cfa.jpg
季羡林：时间从来不语，却回答了所有问题（文学大师季羡林百岁人生的智慧精粹未来不足惧过往不须泣心灵励志）,紫图京东自营官方旗舰店,55.00,20万+,https://item.jd.com/13502500.html,https://img10.360buyimg.com/n1/s200x200_jfs/t1/80087/2/18645/136037/62bd05bcE8b173d9e/ae325bddbbec2a65.jpg
中国十大名著（套装共10册 精装版）【中国经典文学】鲁迅杂文精选+呼兰河传+朱自清散文精选+四世同堂+骆驼祥子+呐喊+城南旧事+生死场+故乡+狂人,翰墨怡香图书京东自营官方旗舰店,200.00,20万+,https://item.jd.com/13538944.html,https://img14.360buyimg.com/n1/s200x200_jfs/t1/75442/9/23552/63331/636e72ebEda457148/aac6ea65d9cb7611.jpg
停止内耗：过一个不累的人生,时代华语京东自营官方旗舰店,36.00,2万+,https://item.jd.com/13729324.html,https://img14.360buyimg.com/n1/s200x200_jfs/t1/93064/3/31730/48756/6360d250Edab28cbd/31c69cd61120e2fa.jpg
罪与罚（“俄罗斯文学天才”陀思妥耶夫斯基成名之作，人能从洁白里拷打出罪恶，也能从罪恶中拷打出洁白。）,知书达礼京东自营官方旗舰店,43.50,200万+,https://item.jd.com/12990562.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/124460/2/14548/306219/5f8293e5Ef3c159eb/aae70823ef614b0e.jpg
写给孩子的世界动物百科全书 全6册,京东自营,67.50,20万+,https://item.jd.com/13746206.html,https://img11.360buyimg.com/n1/s200x200_jfs/t1/138917/20/27006/203891/6278d725E4d2121d6/70066b5c88a8b2be.jpg
【现货速发】寻觅意义 复旦大学王德峰教授2022新 火遍的复旦“哲学王子”演讲合集 40多年中西方哲学修养 安顿内心 图,文轩网旗舰店,34.00,1000+,https://item.jd.com/10062389854257.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/109951/20/35625/147108/6376f3c5E8054112c/0c00313cb8ac5471.jpg
【樊登推荐】 终身成长：重新定义成长,后浪出版京东自营官方旗舰店,49.80,50万+,https://item.jd.com/12198327.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/35834/35/18375/64578/636e75c3Eaea42a9e/abb59d643e8f8e5c.jpg
世界十大名著（套装共10册 精装版）【经典文学小说】大卫·科波菲尔+钢铁是怎样炼成的+悲惨世界+安娜·卡列尼娜+傲慢与偏见+巴黎圣母院+童年+呼啸,翰墨怡香图书京东自营官方旗舰店,200.00,20万+,https://item.jd.com/13381728.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/140908/35/31593/78389/636e737aE7df2f570/5d7c560ed254a9d8.jpg
大国重器[知乎出品],知乎图书京东自营官方旗舰店,128.00,1000+,https://item.jd.com/13246907.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/202802/8/23907/185028/62c687eeE8c3a18f1/f5fa30191afc713a.jpg
人间烟火，最抚人心 汪曾祺（快意人生的趣味与坚守）大众解压，缓解焦虑，带给人美和惬意。,文通天下京东自营官方旗舰店,44.50,20万+,https://item.jd.com/12884141.html,https://img11.360buyimg.com/n1/s200x200_jfs/t1/42188/36/20664/56430/636e755fE41c09f2d/d882eb9377e0e40e.jpg
牛虻（我一定要走自己的路，追随我所见到的光明。无数人因为读它重获力量。）,知书达礼京东自营官方旗舰店,29.90,200万+,https://item.jd.com/12986482.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/131153/20/11964/294434/5f829a9bEc8f991b8/d006434a17fc1677.jpg
瓦尔登湖（著名诗人海子随身携带的书）,创美工厂京东自营官方旗舰店,30.50,20万+,https://item.jd.com/12514773.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/31114/34/19116/29388/635ffe30E03d63e97/3683334f6067d5d4.jpg
理想国（罗翔多次推荐的哲学经典，周国平强烈推荐版本，豆瓣9.6分译本）,果麦京东自营官方旗舰店,39.00,20万+,https://item.jd.com/13441302.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/201446/9/14090/168140/61811c0bE7a6c1833/bb35e5b96b5c5df9.jpg
名侦探柯南【单行本】【100 · 特典装】（新装再编版）,京东自营,70.60,1万+,https://item.jd.com/13541489.html,https://img14.360buyimg.com/n1/s200x200_jfs/t1/121299/24/29214/275155/637f0116E30a74aa3/9ac06e78a2c5f23c.jpg
破局 超越同龄人的思考与行动指南（人邮普华出品）,人民邮电出版社京东自营官方旗舰店,41.40,20万+,https://item.jd.com/12605297.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/49551/31/19052/78687/62b1aa5aE22be0bf2/d95bd79d767896bb.jpg
看文明：200个细节里的中国史 （米莱童7岁+ 科普百科 孩子爱读的中国历史手绘图鉴）,漫阅童书京东自营官方旗舰店,296.00,5万+,https://item.jd.com/13395023.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/62559/28/21095/130012/632c1be7Ecf4243cf/d2d0a79290256840.jpg
半小时漫画中国史大全集（0-5）（中国史大全集！其实是一套严谨的极简中国史！）新老版随机发货,读客京东自营官方旗舰店,269.40,100万+,https://item.jd.com/13349265.html,https://img10.360buyimg.com/n1/s200x200_jfs/t1/125852/17/28412/202744/636e744fE022220d6/1682039c9c7f40c2.png
小笨熊 疯狂的十万个为什么幼儿注音版 第一季（全8册）3-6岁儿童原创科普启蒙漫画绘本【中国大百科全总主编杨牧之】(中国环境标志产品 绿色印刷),小笨熊童书京东自营官方旗舰店,100.30,10万+,https://item.jd.com/12604953.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/210588/24/28077/203048/6373211cE5d87d57d/a29c8edb4714fd46.jpg
余华：活着（精装版，余华代表作，易烊千玺推荐阅读 新版）,新经典文化京东自营官方旗舰店,31.00,20万+,https://item.jd.com/12987083.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/89544/24/29627/46320/630f6c74Efb5873cd/5665b22f96676dbd.jpg
局外人（诺贝尔文学奖得主加缪的代表作，同时收录《局外人》《堕落》）,知书达礼京东自营官方旗舰店,29.90,200万+,https://item.jd.com/12748232.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/84112/28/14896/447774/5dc3a8faE06254e5c/bc204c73ce1bcd81.jpg
自在独行：贾平凹的独行世界（畅销300万册的国民精神读本，中国作家协会推荐精读）,时代华语京东自营官方旗舰店,35.10,20万+,https://item.jd.com/11941728.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/92171/2/34220/40938/636e752fEf1b71768/adff118899461be0.jpg
乌合之众（原版插图，无删减版）,知书达礼京东自营官方旗舰店,17.60,200万+,https://item.jd.com/12174001.html,https://img11.360buyimg.com/n1/s200x200_jfs/t7957/227/2622689294/461159/86a7443e/59b22e50N6e1d836e.jpg
彩色图解第二次世界大战全史：彩书馆（16开四色平装）,京东图书官方自营书店,41.30,1万+,https://item.jd.com/13212324.html,https://img14.360buyimg.com/n1/s200x200_jfs/t1/59572/10/21327/55337/630f6cadE63f68695/df494b91231701c6.jpg
现货 这里是中国1+2（全套装2册）星球研究所著 全民科普国民级地理图 人文风情、自然景色、地区文化等 阅尽中国 每一寸都是挚爱 了解中国地理格局 中信出版社,诺雅图书专营店,209.00,100+,https://item.jd.com/10054731762311.html,https://img11.360buyimg.com/n1/s200x200_jfs/t1/25340/12/17515/242937/62ad4a78E47317906/eb186711642e3c16.jpg
王小波：沉默的大多数（新版）,新经典文化京东自营官方旗舰店,59.00,10万+,https://item.jd.com/12783333.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/173030/21/31515/41170/636e7211E6859e140/5e8a48ae1504b176.jpg
王朔：起初·纪年 王朔新书 埋头十五年 压卷之作 中国当代小说新高度 致女儿 动物凶猛 看上去很美我是你爸爸,新经典文化京东自营官方旗舰店,79.00,10万+,https://item.jd.com/13324729.html,https://img14.360buyimg.com/n1/s200x200_jfs/t1/193564/28/28322/105569/62f5ad5eEcf3c6cdc/5444ca879c57dd49.jpg
东野圭吾：虚无的十字架（罗翔推荐！上市首周登顶Oricon排行榜！《白夜行》式危险关系，《恶意》式强烈反转）,新经典文化京东自营官方旗舰店,59.00,100万+,https://item.jd.com/13095511.html,https://img11.360buyimg.com/n1/s200x200_jfs/t1/223811/29/16479/112334/636e7724E3e72e902/fea65f5ad7a922b3.jpg
复杂世界的简单原理（精装4册）5-12岁科普 能源快递等四大基础领域认识身边事物，让孩子像牛顿一,漫阅童书京东自营官方旗舰店,232.00,5万+,https://item.jd.com/13749062.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/195784/17/24062/240978/629886aaE9e525f99/13e9bc5f1b26d065.jpg
四大名著（全四册 精装彩色插图珍藏本 附赠精美签）西游记+红楼梦+水浒传+三国演义【初中以上及成人】原著无删减【中国古典名著】生僻字注音,翰墨怡香图书京东自营官方旗舰店,105.00,20万+,https://item.jd.com/13018250.html,https://img10.360buyimg.com/n1/s200x200_jfs/t1/148582/12/32349/128528/636e72bfE2be007a2/165dd0f88854f477.jpg
有道包君成 朝代大观 初中语文高分作文提升训练【赠视频课】,有道在线教育旗舰店,49.00,5000+,https://item.jd.com/10058140614819.html,https://img14.360buyimg.com/n1/s200x200_jfs/t1/128126/32/32347/161139/6372eb1bE35670054/0225a695d945f694.jpg
国家地理儿童百科全书（套装共12册）,日知图书京东自营官方旗舰店,100.00,100万+,https://item.jd.com/12177765.html,https://img10.360buyimg.com/n1/s200x200_jfs/t1/195330/34/28304/159680/635ffdb7E3ea8e81e/b55da7283266752e.jpg
透过地理看历史,鹿柴文化京东自营官方旗舰店,46.00,20万+,https://item.jd.com/13081438.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/213413/39/22681/87330/6375f2e0E393db091/2c61b3574e7b7b95.jpg
人类群星闪耀时（1927年原版，德文直译无删节。犹豫就会败北，余华推荐）创美工厂,创美工厂京东自营官方旗舰店,19.90,20万+,https://item.jd.com/13292756.html,https://img11.360buyimg.com/n1/s200x200_jfs/t1/213833/39/23535/37730/636e74ecE803abad5/0d31ef73c24e09d8.jpg
史记（全4册 精装典藏版 文白对照）原版无删减“史家之绝唱，无韵之《离骚》”【中国古代文学经典】司马迁历史读物,翰墨怡香图书京东自营官方旗舰店,105.00,20万+,https://item.jd.com/13333398.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/161607/5/32451/56415/636e72daE5861460e/fadaa92ca366d35a.jpg
马尔克斯：百年孤独（50周年纪念版）,新经典文化京东自营官方旗舰店,39.60,50万+,https://item.jd.com/12152685.html,https://img10.360buyimg.com/n1/s200x200_jfs/t1/163367/10/27473/78318/630f6d44Eda78cbf1/625bebde3d66eab8.jpg
慈母和我的书：梁晓声给孩子的散文,磨铁图书京东自营官方旗舰店,38.00,47,https://item.jd.com/13394073.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/141445/7/29596/92671/63244198E105db9d1/0163c4c83ce0fd7d.jpg
影响女孩成长的经典故事,日知图书京东自营官方旗舰店,60.00,300万+,https://item.jd.com/12898934.html,https://img14.360buyimg.com/n1/s200x200_jfs/t1/147771/1/827/297480/5ee9cf16E2db8b1b2/2b220624399ca08a.jpg
杀死一只知更鸟（新）（豆瓣9.2，关于勇气与正义的成长教科，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐） [to kill,译林出版社京东自营官方旗舰店,58.00,20万+,https://item.jd.com/13443857.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/214904/28/21761/88048/634516d2E96f1eb25/93d894a1152b229e.jpg
藏在地图里的中国历史（精装2册）写给儿童的中国历史故事地图集 赠2张地理学习地图+1米汉字与文明白描长卷【7-14岁】,北斗童书京东自营官方旗舰店,139.00,50万+,https://item.jd.com/13221656.html,https://img11.360buyimg.com/n1/s200x200_jfs/t1/132486/37/31303/237282/63664e2aE494e8d83/486803ba558ac405.jpg
中国国家地理百科全书（套装共10册）（彩图版，中国这么大，我想去看看）,日知图书京东自营官方旗舰店,100.00,100万+,https://item.jd.com/11970990.html,https://img10.360buyimg.com/n1/s200x200_jfs/t1/103349/17/27873/110252/635ffd84E20c55285/384db2e679b2f806.jpg
知行合一王阳明大全集（套装共3册）（全面解读知行合一理念的经典全集）,读客京东自营官方旗舰店,118.00,20万+,https://item.jd.com/12281087.html,https://img12.360buyimg.com/n1/s200x200_jfs/t1/189607/26/30735/74297/636e73c5E31d13cfb/2412103fe55a48c5.png
【旗舰店正版】清华三本小紫书（全3册）清华附中 古文华章 诗风词韵 散文名家风靡北京牛娃圈的小紫 古文＋诗词＋散文，提升文学素养,金道集官方旗舰店,109.00,500+,https://item.jd.com/69504288643.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/69971/8/23939/108882/6383a6ffE160fa5f9/2f26021e18be15af.png
【中文版】野蔷薇村的故事绘本 套装全8册(野蔷薇村的一年四季故事 冒险故事8个中文故事)平装儿童绘本童话故事亲子阅读籍,海豚传媒京东自营官方旗舰店,235.00,2万+,https://item.jd.com/13453533.html,https://img13.360buyimg.com/n1/s200x200_jfs/t1/69708/12/17918/213602/6348faddE402557dc/2c53c3ca5077e865.jpg
大国的崩溃：苏联解体的台前幕后 （修订版）（苏联解体时，已经埋下俄乌冲突的祸根！揭开大国倾覆不为人知的幕后真相！）,天地出版社京东自营官方旗舰店,61.20,5万+,https://item.jd.com/12884416.html,https://img11.360buyimg.com/n1/s200x200_jfs/t1/182148/2/28787/26213/636e74ceE364f31ab/3b51cb6aac9a47cf.jpg
工作、消费主义和新穷人,上海社科院出版社京东自营官方旗舰店,36.60,2万+,https://item.jd.com/12940815.html,https://img10.360buyimg.com/n1/s200x200_jfs/t1/202122/10/5813/104860/6139a24eEfd46a6b9/9b5524487cfe5f5c.jpg
